field,Field,East,711 Techwood Dr NW,3459,"[2, 4]",['First-Year Experience (FE)'],Traditional,"['https://housing.gatech.edu/sites/default/files/2022-04/Field-main1.png', 'https://housing.gatech.edu/sites/default/files/2022-04/fieldkitchen002.png', 'https://housing.gatech.edu/sites/default/files/2022-04/fieldmeetingroom001.png', 'https://housing.gatech.edu/sites/default/files/2022-04/fld-bedroom_0.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/gt_connector_exercise_room_2015.png', 'https://housing.gatech.edu/sites/default/files/2022-04/hopkinsfieldquad002_web_0.jpg']",-84.3916552,33.7742378
fitten,Fitten,West,855 McMillan St NW,3459,[2],['First-Year Experience (FE)'],Traditional,"['https://housing.gatech.edu/sites/default/files/2022-04/fitten-bldg.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/bedroom_24.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/fittenkitchen001.png', 'https://housing.gatech.edu/sites/default/files/2022-04/fittenstudy001.png']",-84.4037232,33.7782299
folk,Folk,West,531 Turner Place NW,3459,[2],"['Explore', 'First-Year Experience (FE)']",Traditional,"['https://housing.gatech.edu/sites/default/files/2022-04/gatech_june2015_191.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/folk_learning_center2_crop.png', 'https://housing.gatech.edu/sites/default/files/2022-04/folk_kitchen_crop.png', 'https://housing.gatech.edu/sites/default/files/2022-04/folk_kitchen2_crop.png', 'https://housing.gatech.edu/sites/default/files/2022-04/flk_nov_2016_051.jpg']",-84.4048608,33.7789351
freeman,Freeman,West,835 McMillan St NW,3459,[2],['First-Year Experience (FE)'],Traditional,"['https://housing.gatech.edu/sites/default/files/2022-04/fre-bldg.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/freemankitchen001.png', 'https://housing.gatech.edu/sites/default/files/2022-04/freemanstudy001.png']",-84.403909,33.7775641
fulmer,Fulmer,West,871 McMillan St NW,3459,[2],['First-Year Experience (FE)'],Traditional,"['https://housing.gatech.edu/sites/default/files/2022-04/ful-bldg.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/fulmerkitchen002.png', 'https://housing.gatech.edu/sites/default/files/2022-04/fulmerstudy001.png']",-84.4038961,33.7786385
glenn,Glenn,East,118 Bobby Dodd Way Atlanta,3459,"[2, 3, 4]",['First-Year Experience (FE)'],Traditional,"['https://housing.gatech.edu/sites/default/files/2022-04/glennoutside003.gif', 'https://housing.gatech.edu/sites/default/files/2022-04/gln-landing.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/gln-lounge.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/gln-study.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/glennbedroom000_w_bedrails.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/glennbedroom2_w_bedrails.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/glennquad005_w_bedrails.jpg']",-84.3915381,33.7735733
goldin-house,Goldin House,East,733 Techwood Dr NW,4460,[1],"['Women', 'Science', '& Technology(WST)']",Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/Goldin5_2.png', 'https://housing.gatech.edu/sites/default/files/2022-04/bedroom_0_0.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/goldensteinkitchen002_7.gif']",-84.3915931,33.7748716
graduate-living-center,Graduate Living Center,North,301 10th St NW,4829,"[3, 4]","['Graduate', 'Undergraduate']",Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/GLC-Building.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/glc-lobby.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/activity-room.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/bedroom_1.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/bike-room.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/glc-mailboxes.jpg']",-84.3963735,33.7820202
gray-house,Gray House,East,733 Techwood Dr NW,4460,[1],"['International House(I-House)', 'Undergraduate']",Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/grayoutside001.gif', 'https://housing.gatech.edu/sites/default/files/2022-04/bedroom_4.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/bathroom_2.png', 'https://housing.gatech.edu/sites/default/files/2022-04/graykitchen001.gif']",-84.3915931,33.7748716
hanson,Hanson,East,711 Techwood Dr NW,3459,[2],['First-Year Experience (FE)'],Traditional,"['https://housing.gatech.edu/sites/default/files/2022-04/Hanson%20Hall.png', 'https://housing.gatech.edu/sites/default/files/2022-04/hansonlounge002.png', 'https://housing.gatech.edu/sites/default/files/2022-04/hansonkitchen001.png', 'https://housing.gatech.edu/sites/default/files/2022-04/bedroom_2.jpg']",-84.3916552,33.7742378
harris,Harris,East,633 Techwood Dr NW,3610,"[1, 4]",['First-Year Experience (FE)'],Suite,"['https://housing.gatech.edu/sites/default/files/2022-04/building_1.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/Harris-Hall-Lounge-1.png', 'https://housing.gatech.edu/sites/default/files/2022-04/Harris-Hall-Lounge-2.png', 'https://housing.gatech.edu/sites/default/files/2022-04/Harris-Hallway.png', 'https://housing.gatech.edu/sites/default/files/2022-04/harriskitchen001.gif', 'https://housing.gatech.edu/sites/default/files/2022-04/harrisworkout004.png']",-84.3918166,33.772033
harrison,Harrison,East,660 Williams St NW,3459,"[2, 4]",['First-Year Experience (FE)'],Traditional,"['https://housing.gatech.edu/sites/default/files/2022-04/HarrisonHall.png', 'https://housing.gatech.edu/sites/default/files/2022-04/harrisonkitchen001.png', 'https://housing.gatech.edu/sites/default/files/2022-04/harrisonlearningcenter001.png', 'https://housing.gatech.edu/sites/default/files/2022-04/harrisonstudy003.png']",-84.3909267,33.7727026
hayes-house,Hayes House,East,733 Techwood Dr NW,4460,[1],"['International House(I-House)', 'Undergraduate']",Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/HayesHall.png', 'https://housing.gatech.edu/sites/default/files/2022-04/Hayes-4th-Street-Lounge.png', 'https://housing.gatech.edu/sites/default/files/2022-04/Hayes-4th-Street-Stairwell.png', 'https://housing.gatech.edu/sites/default/files/2022-04/grayhayeskitchen001.gif', 'https://housing.gatech.edu/sites/default/files/2022-04/hayesmeetingihouse001.gif', 'https://housing.gatech.edu/sites/default/files/2022-04/bedroom_3.jpg']",-84.3915931,33.7748716
hefner,Hefner,West,510 8th St NW,3459,[2],"['First-Year Experience (FE)', 'Impact']",Traditional,"['https://housing.gatech.edu/sites/default/files/2022-04/Hefner%20Hall.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/hefnerstudy001.png', 'https://housing.gatech.edu/sites/default/files/2022-04/hefnerkitchen001.png', 'https://housing.gatech.edu/sites/default/files/2022-04/arm-hef-cafe-honors.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/Bedroom.jpg']",-84.4039518,33.7791451
hopkins,Hopkins,East,711 Techwood Dr NW,3459,"[2, 4]",['First-Year Experience (FE)'],Traditional,"['https://housing.gatech.edu/sites/default/files/2022-04/HopkinsHall.png', 'https://housing.gatech.edu/sites/default/files/2022-04/hopkinskitchen001_1.png']",-84.3916552,33.7742378
howell,Howell,East,640 Williams St NW,3459,"[2, 4]","['First-Year Experience (FE)', 'Grand Challenges']",Traditional,"['https://housing.gatech.edu/sites/default/files/2022-04/HowellHall.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/howelllounge002.png', 'https://housing.gatech.edu/sites/default/files/2022-04/howellbedroom1_w_bedrails.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/howellkitchen001_0.png', 'https://housing.gatech.edu/sites/default/files/2022-04/howelltvlounge001.png']",-84.3909436,33.7721292
matheson,Matheson,East,711 Techwood Dr NW,3459,[2],"['First-Year Experience (FE)', 'Global Leadership']",Traditional,"['https://housing.gatech.edu/sites/default/files/2022-04/Matheson1.png', 'https://housing.gatech.edu/sites/default/files/2022-04/mathesonsunroom002.png', 'https://housing.gatech.edu/sites/default/files/2022-04/perrymathesonlounge003.png', 'https://housing.gatech.edu/sites/default/files/2022-04/perrymathesonlounge004.png', 'https://housing.gatech.edu/sites/default/files/2022-04/bedroom-3.jpg']",-84.3916552,33.7742378
maulding,Maulding,West,501 6th St NW,4829,"[2, 4, 6]",['Undergraduate'],Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/maulding-building.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/maudlinglounge001.png', 'https://housing.gatech.edu/sites/default/files/2022-04/mauldingworkout001_0.png', 'https://housing.gatech.edu/sites/default/files/2022-04/mauldingactivity001.png', 'https://housing.gatech.edu/sites/default/files/2022-04/kitchen_1.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/living-room_0.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/bedroom_8.jpg']",-84.4057468,33.7770255
montag,Montag,West,845 McMillan St NW,3459,[2],['First-Year Experience (FE)'],Traditional,"['https://housing.gatech.edu/sites/default/files/2022-04/montag.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/montagkitchen002.png', 'https://housing.gatech.edu/sites/default/files/2022-04/montagmeeting001.png', 'https://housing.gatech.edu/sites/default/files/2022-04/montagstudy001.png', 'https://housing.gatech.edu/sites/default/files/2022-04/montagpatio001.png']",-84.4039195,33.7778604
nelson-shell,Nelson Shell,West,580 Turner Place NW,4829,"[2, 3, 4, 5, 6, 7]",['Undergraduate'],Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/Nelson-Shell_6.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/lobby_6.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/nslmeetingroom001_6.png', 'https://housing.gatech.edu/sites/default/files/2022-04/living-room-kitchen_1.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/kitchen_2_11.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/two-bedrooms_6.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/bike-room_0_5.jpeg']",-84.4059087,33.7781539
